[0, 1, 3, 0, 1, 3, 2, 2, 2, 1]
[1, 3, 8, 0, 1, 3, 4, 5, 2, 6]
[2, 7, 0, 1, 2, 3, 4, 2, 5, 8]
[3, 8, 3, 0, 2, 2, 3, 3, 5, 3]
[4, 4, 7, 0, 1, 4, 2, 4, 2, 8]
[5, 5, 6, 0, 4, 3, 4, 5, 5, 8]
[6, 4, 5, 0, 1, 2, 3, 3, 5, 1]
[7, 9, 1, 1, 2, 3, 2, 2, 5, 6]
[8, 2, 1, 0, 5, 4, 3, 5, 4, 9]
[9, 4, 7, 1, 1, 2, 5, 4, 2, 8]
[10, 4, 7, 0, 1, 2, 3, 2, 5, 5]
[11, 8, 3, 1, 1, 4, 3, 2, 6, 6]
[12, 4, 7, 1, 1, 1, 2, 4, 2, 8]
[13, 7, 4, 0, 1, 1, 3, 3, 6, 5]
[14, 4, 4, 1, 2, 2, 3, 3, 4, 5]
[15, 2, 9, 0, 1, 4, 3, 4, 5, 5]
[16, 6, 5, 1, 1, 3, 4, 3, 6, 5]
[17, 1, 0, 1, 5, 3, 2, 4, 5, 7]
[18, 6, 5, 0, 2, 5, 2, 5, 2, 7]
[19, 5, 6, 0, 1, 2, 4, 4, 5, 7]
[20, 6, 5, 0, 1, 4, 3, 3, 2, 1]
[21, 6, 5, 0, 3, 3, 4, 4, 2, 6]
[22, 1, 3, 1, 1, 3, 3, 4, 6, 4]
[23, 0, 3, 0, 2, 2, 5, 4, 5, 2]
[24, 6, 5, 1, 1, 4, 5, 4, 4, 8]
[25, 3, 8, 1, 2, 3, 3, 2, 3, 1]
[26, 4, 3, 1, 1, 3, 3, 2, 2, 4]
[27, 1, 3, 1, 2, 5, 2, 4, 6, 5]
[28, 6, 5, 1, 1, 3, 3, 4, 2, 3]
[29, 4, 0, 1, 1, 2, 3, 3, 6, 5]
[30, 5, 6, 1, 1, 3, 4, 4, 5, 3]
[31, 0, 0, 1, 1, 2, 2, 3, 5, 9]
[32, 5, 6, 1, 2, 1, 3, 4, 5, 7]
[33, 2, 9, 1, 2, 3, 3, 2, 2, 9]
[34, 1, 2, 0, 1, 4, 3, 3, 5, 3]
[35, 1, 4, 0, 1, 3, 2, 4, 2, 5]
[36, 4, 7, 1, 1, 4, 3, 3, 4, 7]
[37, 6, 5, 1, 1, 3, 3, 4, 4, 6]
[38, 5, 6, 1, 1, 2, 2, 5, 6, 9]
[39, 2, 9, 0, 3, 1, 3, 3, 2, 5]
[40, 5, 6, 0, 1, 3, 3, 4, 5, 5]
[41, 0, 5, 0, 1, 1, 4, 4, 2, 1]
[42, 1, 0, 1, 2, 3, 4, 4, 5, 6]
[43, 5, 6, 0, 5, 1, 3, 1, 5, 2]
[44, 3, 2, 1, 1, 2, 3, 5, 6, 5]
[45, 5, 0, 1, 1, 2, 2, 4, 6, 2]
[46, 9, 2, 1, 1, 3, 3, 3, 5, 8]
[47, 2, 9, 0, 2, 2, 2, 4, 2, 9]
[48, 4, 5, 0, 2, 3, 4, 1, 2, 4]
[49, 7, 4, 0, 1, 3, 4, 3, 2, 4]



